index_code,con_code,trade_date,weight
000016.SH,601628.SH,20251128,0.793
000016.SH,688111.SH,20251128,0.789
000016.SH,601985.SH,20251128,0.777
000016.SH,600760.SH,20251128,0.708
000016.SH,601658.SH,20251128,0.685
000016.SH,600048.SH,20251128,0.531
000016.SH,600519.SH,20251031,9.687
000016.SH,601318.SH,20251031,6.713
000016.SH,600036.SH,20251031,5.458
000016.SH,601899.SH,20251031,5.418
000016.SH,600900.SH,20251031,3.708
000016.SH,601166.SH,20251031,3.626
000016.SH,688256.SH,20251031,3.095
000016.SH,600030.SH,20251031,3.093
000016.SH,600276.SH,20251031,3.089
000016.SH,601398.SH,20251031,2.941
000016.SH,601288.SH,20251031,2.741
000016.SH,603259.SH,20251031,2.681
000016.SH,688981.SH,20251031,2.663
000016.SH,601211.SH,20251031,2.362
000016.SH,688041.SH,20251031,2.3
000016.SH,601328.SH,20251031,2.066
000016.SH,600887.SH,20251031,1.87
000016.SH,600150.SH,20251031,1.748
000016.SH,688008.SH,20251031,1.683
000016.SH,601816.SH,20251031,1.643
000016.SH,601088.SH,20251031,1.512
000016.SH,600031.SH,20251031,1.417
000016.SH,601012.SH,20251031,1.38
000016.SH,601127.SH,20251031,1.367
000016.SH,688012.SH,20251031,1.318
000016.SH,601601.SH,20251031,1.31
000016.SH,603993.SH,20251031,1.291
000016.SH,600309.SH,20251031,1.272
000016.SH,601668.SH,20251031,1.21
000016.SH,603501.SH,20251031,1.201
000016.SH,601728.SH,20251031,1.12
000016.SH,601857.SH,20251031,1.119
000016.SH,600690.SH,20251031,1.085
000016.SH,600406.SH,20251031,1.049
000016.SH,600941.SH,20251031,1.03
000016.SH,601919.SH,20251031,1.021
000016.SH,601766.SH,20251031,1.006
000016.SH,600809.SH,20251031,1.003
000016.SH,601225.SH,20251031,0.949
000016.SH,600050.SH,20251031,0.914
000016.SH,688111.SH,20251031,0.897
000016.SH,601988.SH,20251031,0.866
000016.SH,600028.SH,20251031,0.86
000016.SH,601600.SH,20251031,0.854
000016.SH,601888.SH,20251031,0.801
000016.SH,601985.SH,20251031,0.797
000016.SH,601628.SH,20251031,0.79
000016.SH,600760.SH,20251031,0.726
000016.SH,601658.SH,20251031,0.684
000016.SH,600048.SH,20251031,0.568
000016.SH,600519.SH,20250930,9.856
000016.SH,601318.SH,20250930,6.445
000016.SH,600036.SH,20250930,5.435
000016.SH,601899.SH,20250930,5.269
000016.SH,600900.SH,20250930,3.623
000016.SH,601166.SH,20250930,3.585
000016.SH,600276.SH,20250930,3.472
000016.SH,600030.SH,20250930,3.171
000016.SH,603259.SH,20250930,3.045
000016.SH,688981.SH,20250930,3.028
000016.SH,688256.SH,20250930,3.005
000016.SH,601398.SH,20250930,2.78
000016.SH,688041.SH,20250930,2.552
000016.SH,601211.SH,20250930,2.317
000016.SH,601288.SH,20250930,2.314
000016.SH,601328.SH,20250930,1.948
000016.SH,688008.SH,20250930,1.926
000016.SH,600887.SH,20250930,1.875
000016.SH,600150.SH,20250930,1.698
000016.SH,601816.SH,20250930,1.636
000016.SH,601127.SH,20250930,1.523
000016.SH,600031.SH,20250930,1.498
000016.SH,688012.SH,20250930,1.421
000016.SH,603501.SH,20250930,1.399
000016.SH,601088.SH,20250930,1.38
000016.SH,600309.SH,20250930,1.363
000016.SH,601601.SH,20250930,1.306
000016.SH,601668.SH,20250930,1.224
000016.SH,603993.SH,20250930,1.199
000016.SH,601012.SH,20250930,1.186
000016.SH,601728.SH,20250930,1.124
000016.SH,600690.SH,20250930,1.033
000016.SH,600809.SH,20250930,1.029
000016.SH,600941.SH,20250930,1.027
000016.SH,600406.SH,20250930,1.002
000016.SH,601857.SH,20250930,0.993
000016.SH,601766.SH,20250930,0.987
000016.SH,601919.SH,20250930,0.982
