ts_code,trade_date,company_name,name,industry_id,industry_name,ret_20d,rs_market_20d,momentum_rank_in_industry,liquidity_rank_in_industry,pe_ttm,pb,total_mv,peer_score
601088.SH,20241231,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.08078548347004721,0.06877130214940719,1.0,1.0,15.0243,2.0817,86388324.7643,0.9351620885919327
601088.SH,20250102,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.011638954869358509,0.026141388729427284,1.0,1.0,14.7168,2.0391,84620026.4883,0.8752524127691166
601088.SH,20250103,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.003578244274809128,0.02195379726418145,1.0,1.0,14.5371,2.0142,83586863.4507,0.8673100717644148
601088.SH,20250106,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.012517713745866854,0.019546516386621082,1.0,1.0,14.4473,2.0018,83070281.9319,0.8627802524127691
601088.SH,20250107,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.03294117647058814,-0.005340632999254247,1.0,1.0,14.2019,1.9678,81659617.0151,0.8037280376144519
601088.SH,20250108,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.03902209685002345,-0.0048562163769300115,1.0,1.0,14.1259,1.9572,81222509.576,0.8046721108636476
601088.SH,20250109,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.08782849239280788,-0.051596539026540045,1.0,1.0,13.6732,1.8945,78619733.4619,0.7201559020044543
601088.SH,20250110,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.09116214335421013,-0.03860688431089021,1.0,1.0,13.5385,1.8759,77844861.1837,0.7405270972531551
601088.SH,20250113,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.08708920187793434,-0.05499426394213036,1.0,1.0,13.4383,1.862,77268674.105,0.715426874536006
601088.SH,20250114,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.09505178365937872,-0.07886680450841932,1.0,1.0,13.5868,1.8826,78123020.4631,0.6894605295718882
601088.SH,20250115,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.08387850467289715,-0.060939260897906355,1.0,1.0,13.5488,1.8773,77904466.7436,0.7085498638950755
601088.SH,20250116,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07803065490013927,-0.043879932161516866,1.0,1.0,13.7182,1.9007,78878024.2214,0.7320131155654541
601088.SH,20250117,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.0704060079793476,-0.040637125995260925,1.0,1.0,13.6871,1.8964,78699207.5418,0.7371838653798565
601088.SH,20250120,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.06289308176100628,-0.040467830929476145,1.0,1.0,13.3864,1.8548,76970646.3057,0.7375303142786439
601088.SH,20250121,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.08544758257539486,-0.05313494435347044,0.5,1.0,13.2033,1.8294,75917614.7481,0.49294729027468454
601088.SH,20250122,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.08744609487302346,-0.03159385591350705,1.0,1.0,13.1618,1.8237,75679192.5086,0.7524449393714427
601088.SH,20250123,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.1046620046620047,-0.05201266218103606,0.5,1.0,13.2724,1.839,76314985.1472,0.4945842613214551
601088.SH,20250124,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07239496795632572,-0.02669844633148155,0.5,1.0,13.5039,1.8711,77646175.9841,0.5367470923038852
601088.SH,20250127,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.05190803507940267,-0.00821281927275097,0.5,1.0,13.8218,1.9151,79474079.82,0.5729596634496412
601088.SH,20250205,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.09256661991584858,-0.03489056262978685,1.0,1.0,13.4141,1.8586,77129594.4653,0.7472048997772829
601088.SH,20250206,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.10418583256669722,-0.06532035184368867,0.5,1.0,13.459,1.8648,77387885.2247,0.4784570650829003
601088.SH,20250207,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.086874853251937,-0.08601167133937526,0.5,1.0,13.4383,1.862,77268674.105,0.4581291759465479
601088.SH,20250210,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.08271927739481821,-0.09582599372884615,1.0,1.0,13.3346,1.8476,76672618.5063,0.6760096510764663
601088.SH,20250211,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07797177708682135,-0.09128925386323439,1.0,1.0,13.3208,1.8457,76593144.4265,0.6789804503835685
601088.SH,20250212,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07007299270073009,-0.08783745478646188,0.5,1.0,13.2067,1.8299,75937483.268,0.45668275179411044
601088.SH,20250213,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.0677592954990216,-0.08457758611288968,0.5,1.0,13.1687,1.8246,75718929.5485,0.4593590695372433
