ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
600519.SH,20240808,1430.69,0.2001,0.4576,0.9,24.0483,23.0401,8.9439,179722963.0482,179722963.0482
600519.SH,20240807,1415.5,0.1642,0.3755,0.63,23.793,22.7955,8.8489,177814798.59,177814798.59
600519.SH,20240806,1404.7,0.2185,0.4998,0.73,23.6115,22.6215,8.7814,176458104.966,176458104.966
600519.SH,20240805,1410.01,0.3004,0.6872,1.05,23.7007,22.7071,8.8146,177125145.9978,177125145.9978
600519.SH,20240802,1385.45,0.1746,0.3993,0.58,23.2879,22.3115,8.6611,174039924.201,174039924.201
600519.SH,20240801,1386.16,0.255,0.5834,0.86,23.2998,22.323,8.6655,174129114.2448,174129114.2448
600519.SH,20240731,1421.28,0.3445,0.788,1.29,23.8902,22.8886,8.885,178540880.9184,178540880.9184
600519.SH,20240730,1379.99,0.4122,0.9429,1.77,23.1961,22.2236,8.6269,173354040.2022,173354040.2022
600519.SH,20240729,1398.02,0.2457,0.5621,1.07,23.4992,22.514,8.7396,175618964.8356,175618964.8356
600519.SH,20240726,1422.19,0.2576,0.5892,1.07,23.9055,22.9032,8.8907,178655194.9182,178655194.9182
600519.SH,20240725,1430.49,0.2257,0.5162,0.94,24.045,23.0369,8.9426,179697839.0922,179697839.0922
600519.SH,20240724,1440.02,0.192,0.4393,0.75,24.2052,23.1903,9.0022,180894995.5956,180894995.5956
600519.SH,20240723,1455.0,0.2463,0.5635,1.02,24.457,23.4316,9.0958,182776779.9,182776779.9
600519.SH,20240722,1499.0,0.2272,0.5198,1.01,25.1965,24.1402,9.3709,188304050.22,188304050.22
600519.SH,20240719,1525.62,0.31,0.7092,1.54,25.644,24.5689,9.5373,191648048.7636,191648048.7636
600519.SH,20240718,1497.51,0.2298,0.5257,1.14,25.1715,24.1162,9.3616,188116876.7478,188116876.7478
600519.SH,20240717,1501.4,0.2731,0.6248,1.48,25.2369,24.1788,9.3859,188605537.692,188605537.692
600519.SH,20240716,1476.0,0.1617,0.37,0.79,24.8099,23.7698,9.2271,185414795.28,185414795.28
600519.SH,20240715,1474.9,0.1527,0.3492,0.64,24.7915,23.7521,9.2202,185276613.522,185276613.522
