ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20231218,2251.2303,2237.0059,2260.3486,2227.9756,2245.2883,5.942,0.2646,25881915.0,37998035.487
000016.SH,20231215,2245.2883,2262.0374,2283.543,2244.8005,2249.9385,-4.6502,-0.2067,27458678.0,47439182.451
000016.SH,20231214,2249.9385,2274.2482,2280.8484,2249.389,2261.0183,-11.0798,-0.49,20626914.0,39752388.201
000016.SH,20231213,2261.0183,2298.2734,2298.2734,2260.5987,2305.138,-44.1197,-1.914,24866346.0,45559138.294
000016.SH,20231212,2305.138,2285.2072,2306.0435,2282.0889,2292.6788,12.4592,0.5434,28848714.0,42483203.292
000016.SH,20231211,2292.6788,2264.9938,2299.6627,2244.2812,2281.6486,11.0302,0.4834,35010082.0,56257627.751
000016.SH,20231208,2281.6486,2274.1843,2287.09,2269.2757,2274.8281,6.8205,0.2998,33512910.0,45212158.886
000016.SH,20231207,2274.8281,2280.0917,2284.9375,2259.8217,2284.0636,-9.2355,-0.4043,25959560.0,38119540.897
000016.SH,20231206,2284.0636,2281.7323,2298.295,2275.2818,2286.5809,-2.5173,-0.1101,30677731.0,41728776.593
000016.SH,20231205,2286.5809,2327.3356,2327.3356,2285.9628,2333.8788,-47.2979,-2.0266,25193874.0,42196912.811
000016.SH,20231204,2333.8788,2351.3111,2353.0,2332.849,2352.0003,-18.1215,-0.7705,23004550.0,38447058.076
000016.SH,20231201,2352.0003,2362.6263,2362.6263,2330.7389,2365.9963,-13.996,-0.5915,28357550.0,45326081.31
000016.SH,20231130,2365.9963,2358.2063,2370.949,2354.6865,2358.1163,7.88,0.3342,25642019.0,37341817.61
000016.SH,20231129,2358.1163,2374.0329,2374.3573,2351.1002,2371.212,-13.0957,-0.5523,25739104.0,38604709.47
000016.SH,20231128,2371.212,2368.9202,2374.968,2361.7417,2370.7186,0.4934,0.0208,20064514.0,32101797.71
000016.SH,20231127,2370.7186,2387.9822,2387.9822,2357.0895,2391.0208,-20.3022,-0.8491,26821001.0,40568738.453
000016.SH,20231124,2391.0208,2403.9218,2403.9218,2390.1672,2405.1654,-14.1446,-0.5881,20234203.0,29471977.497
000016.SH,20231123,2405.1654,2393.4946,2407.1978,2386.5753,2396.904,8.2614,0.3447,19801601.0,29966318.053
000016.SH,20231122,2396.904,2408.9768,2414.2358,2396.904,2416.241,-19.337,-0.8003,21724455.0,30301268.541
000016.SH,20231121,2416.241,2415.1327,2432.7708,2412.0053,2404.7673,11.4737,0.4771,26462616.0,42629214.174
000016.SH,20231120,2404.7673,2399.764,2413.3088,2383.5592,2398.2037,6.5636,0.2737,21238673.0,34814050.597
000016.SH,20231117,2398.2037,2396.5932,2401.7916,2379.3321,2404.3187,-6.115,-0.2543,22301093.0,33944865.47
000016.SH,20231116,2404.3187,2422.8485,2425.3029,2402.1079,2427.1241,-22.8054,-0.9396,22200157.0,33479906.673
000016.SH,20231115,2427.1241,2428.8202,2431.8253,2419.6361,2406.3969,20.7272,0.8613,24622131.0,43282231.776
000016.SH,20231114,2406.3969,2410.4772,2419.218,2397.1803,2407.5885,-1.1916,-0.0495,23421802.0,37907956.031
000016.SH,20231113,2407.5885,2415.9565,2421.1726,2396.306,2414.0167,-6.4282,-0.2663,23455482.0,37683961.41
000016.SH,20231110,2414.0167,2424.4922,2428.1184,2409.0447,2436.2349,-22.2182,-0.912,24477685.0,39070613.073
000016.SH,20231109,2436.2349,2428.508,2444.3506,2427.6412,2436.6983,-0.4634,-0.019,28423914.0,48916592.498
